number,name,status
391,Dictionary-Based Configuration For Logging,Final
383,Non-decodable Bytes in System Character Interfaces,Final
380,Syntax for Delegating to a Subgenerator,Final
378,Format Specifier for Thousands Separator,Final
353,Using ssize_t as the index type,Final
389,argparse - New Command Line Parsing Module,Final
384,Defining a Stable ABI,Final
372,Adding an ordered dictionary to collections,Final
371,Addition of the multiprocessing package to the standard library,Final
376,Database of Installed Python Distributions,Final
357,Allowing Any Object to be Used for Slicing,Final
366,Main module explicit relative imports,Final
362,Function Signature Object,Final
370,Per user site-packages directory,Final
352,Required Superclass for Exceptions,Final
358,The “bytes” Object,Final
8014,The Commons Governance Model,Rejected
3146,Merging Unladen Swallow into CPython,Withdrawn
8010,The Technical Leader Governance Model,Rejected
8012,The Community Governance Model,Rejected
8015,Organization of the Python community,Rejected
8013,The External Council Governance Model,Rejected
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
3153,Asynchronous IO support,Superseded
3152,Cofunctions,Rejected
3142,Add a “while” clause to generator expressions,Rejected
3140,"str(container) should call str(item), not repr(item)",Standards Track
3133,Introducing Roles,Rejected
3122,Delineation of the main module,Rejected
3128,BList: A Faster List-like Type,Standards Track
3130,Access to Current Module/Class/Function,Rejected
3117,Postfix type declarations,Rejected
3126,Remove Implicit String Concatenation,Rejected
3103,A Switch/Case Statement,Rejected
3139,Cleaning out sys and the “interpreter” module,Rejected
3136,Labeled break and continue,Rejected
3125,Remove Backslash Continuation,Rejected
763,Limiting deletions on PyPI,Standards Track
756,Add PyUnicode_Export() and PyUnicode_Import() C functions,Withdrawn
806,Mixed sync/async context managers with precise async marking,Rejected
727,Documentation in Annotated Metadata,Withdrawn
3001,Procedure for reviewing and improving standard library modules,Withdrawn
760,No More Bare Excepts,Withdrawn
775,Make zlib required to build CPython,Standards Track
769,"Add a ‘default’ keyword argument to ‘attrgetter’, ‘itemgetter’ and ‘getitem’",Standards Track
2026,Calendar versioning for Python,Process
754,IEEE 754 Floating Point Special Values,Rejected
726,Module __setattr__ and __delattr__,Rejected
722,Dependency specification for single-file scripts,Rejected
743,Add Py_OMIT_LEGACY_API to the Python C API,Standards Track
724,Stricter Type Guards,Withdrawn
736,Shorthand syntax for keyword arguments at invocation,Standards Track
713,Callable Modules,Rejected
759,External Wheel Hosting,Withdrawn
679,New assert statement syntax with parentheses,Standards Track
712,Adding a “converter” parameter to dataclasses.field,Rejected
704,Require virtual environments by default for package installers,Standards Track
707,A simplified signature for __exit__ and __aexit__,Standards Track
677,Callable Type Syntax,Rejected
690,Lazy Imports,Rejected
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,Rejected
645,Allow writing optional types as x?,Standards Track
663,"Standardizing Enum str(), repr(), and format() behaviors",Informational
662,Editable installs via virtual wheels,Rejected
650,Specifying Installer Requirements for Python Projects,Standards Track
666,Reject Foolish Indentation,Rejected
648,Extensible customizations of the interpreter at startup,Rejected
665,A file format to list Python dependencies for reproducibility of an application,Rejected
651,Robust Stack Overflow Handling,Rejected
640,Unused variable syntax,Rejected
641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
631,Dependency specification in pyproject.toml based on PEP 508,Superseded
633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
620,Hide implementation details from the C API,Withdrawn
637,Support for indexing with keyword arguments,Rejected
622,Structural Pattern Matching,Superseded
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
595,Improving bugs.python.org,Informational
601,Forbid return/break/continue breaking out of finally,Rejected
608,Coordinated Python release,Rejected
606,Python Compatibility Version,Rejected
598,Introducing incremental feature releases,Informational
605,A rolling feature release stream for CPython,Informational
599,The manylinux2014 Platform Tag,Informational
611,The one million limit,Withdrawn
580,The C call protocol,Standards Track
583,A Concurrency Memory Model for Python,Withdrawn
577,Augmented Assignment Expressions,Withdrawn
576,Rationalize Built-in function classes,Standards Track
563,Postponed Evaluation of Annotations,Standards Track
571,The manylinux2010 Platform Tag,Superseded
582,Python local packages directory,Standards Track
575,Unifying function/method classes,Withdrawn
551,Security transparency in the Python runtime,Withdrawn
559,Built-in noop(),Rejected
549,Instance Descriptors,Standards Track
548,More Flexible Loop Control,Rejected
555,Context-local variables (contextvars),Withdrawn
550,Execution Context,Withdrawn
558,Defined semantics for locals(),Withdrawn
554,Multiple Interpreters in the Stdlib,Standards Track
534,Improved Errors for Missing Standard Library Modules,Withdrawn
543,A Unified TLS API for Python,Withdrawn
531,Existence checking operators,Withdrawn
542,Dot Notation Assignment In Function Header,Rejected
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Standards Track
536,Final Grammar for Literal String Interpolation,Withdrawn
521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
522,Allow BlockingIOError in security sensitive APIs,Rejected
507,Migrate CPython to Git and GitLab,Rejected
504,Using the System RNG by default,Withdrawn
502,String Interpolation - Extended Discussion,Rejected
509,Add a private version to dict,Superseded
510,Specialize functions with guards,Rejected
516,Build system abstraction for pip/conda etc,Rejected
513,A Platform Tag for Portable Linux Built Distributions,Superseded
511,API for code transformers,Rejected
496,Environment Markers,Informational
500,A protocol for delegating datetime methods to their tzinfo implementations,Standards Track
473,Adding structured data to built-in exceptions,Rejected
490,Chain exceptions at C level,Rejected
481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
474,Creating forge.python.org,Withdrawn
497,A standard mechanism for backward compatibility,Process
501,General purpose template literal strings,Standards Track
459,Standard Metadata Extensions for Python Software Packages,Withdrawn
463,Exception-catching expressions,Rejected
439,Inclusion of implicit pip bootstrap in Python installation,Rejected
455,Adding a key-transforming dictionary to collections,Standards Track
469,Migration of dict iteration code to Python 3,Withdrawn
462,Core development workflow automation for CPython,Withdrawn
460,Add binary interpolation and formatting,Withdrawn
472,Support for indexing with keyword arguments,Standards Track
416,Add a frozendict builtin type,Rejected
426,Metadata for Python Software Packages 2.0,Withdrawn
411,Provisional packages in the Python standard library,Superseded
437,"A DSL for specifying signatures, annotations and argument converters",Rejected
422,Simpler customisation of class creation,Withdrawn
431,Time zone support improvements,Standards Track
432,Restructuring the CPython startup sequence,Standards Track
433,Easier suppression of file descriptor inheritance,Superseded
406,Improved Encapsulation of Import State,Withdrawn
401,BDFL Retirement,April Fool!
410,Use decimal.Decimal type for timestamps,Rejected
396,Module Version Numbers,Withdrawn
408,Standard library __preview__ package,Rejected
395,Qualified Names for Modules,Withdrawn
402,Simplified Package Layout and Partitioning,Rejected
413,Faster evolution of the Python Standard Library,Withdrawn
377,Allow __enter__() methods to skip the statement body,Rejected
381,Mirroring infrastructure for PyPI,Withdrawn
364,Transitioning to the Py3K Standard Library,Withdrawn
363,Syntax For Dynamic Attribute Access,Rejected
390,Static metadata for Distutils,Rejected
350,Codetags,Rejected
379,Adding an Assignment Expression,Withdrawn
367,New Super,Superseded
382,Namespace Packages,Rejected
369,Post import hooks,Withdrawn
386,Changing the version comparison module in Distutils,Superseded
365,Adding the pkg_resources module,Rejected
354,Enumerations in Python,Superseded
359,The “make” Statement,Withdrawn
351,The freeze protocol,Rejected
348,Exception Reorganization for Python 3.0,Rejected
355,Path - Object oriented filesystem paths,Rejected
332,Byte vectors and String/Unicode Unification,Rejected
349,Allow str() to return unicode strings,Rejected
345,Metadata for Python Software Packages 1.2,Standards Track
340,Anonymous Block Statements,Rejected
344,Exception Chaining and Embedded Tracebacks,Superseded
346,User Defined (”with”) Statements,Withdrawn
319,Python Synchronize/Asynchronize Block,Rejected
330,Python Bytecode Verification,Rejected
336,Make None Callable,Rejected
334,Simple Coroutines via SuspendIteration,Withdrawn
335,Overloadable Boolean Operators,Rejected
339,Design of the CPython Compiler,Withdrawn
304,Controlling Generation of Bytecode Files,Withdrawn
325,Resource-Release Support for Generators,Rejected
329,Treating Builtins as Constants in the Standard Library,Rejected
306,How to Change Python’s Grammar,Withdrawn
326,A Case for Top and Bottom Values,Rejected
317,Eliminate Implicit Exception Instantiation,Rejected
321,Date/Time Parsing and Formatting,Withdrawn
315,Enhanced While Loop,Rejected
314,Metadata for Python Software Packages 1.1,Standards Track
310,Reliable Acquisition/Release Pairs,Rejected
313,Adding Roman Numeral Literals to Python,Rejected
303,Extend divmod() for Multiple Divisors,Rejected
299,Special __main__() function in modules,Rejected
297,Support for System Upgrades,Rejected
298,The Locked Buffer Interface,Withdrawn
295,Interpretation of multiline string constants,Rejected
296,Adding a bytes Object Type,Withdrawn
288,Generators Attributes and Exceptions,Withdrawn
294,Type Names in the types Module,Rejected
291,Backward Compatibility for the Python 2 Standard Library,Superseded
284,Integer for-loops,Rejected
276,Simple Iterator for ints,Rejected
281,Loop Counter Iteration with range and xrange,Rejected
275,Switching on Multiple Values,Rejected
271,Prefixing sys.path by command line option,Rejected
256,Docstring Processing System Framework,Standards Track
259,Omit printing newline after newline,Rejected
270,uniq method for list objects,Rejected
265,Sorting Dictionaries by Value,Rejected
266,Optimizing Global Variable/Attribute Access,Withdrawn
268,Extended HTTP functionality and WebDAV,Rejected
262,A Database of Installed Python Packages,Rejected
258,Docutils Design Specification,Standards Track
254,Making Classes Look More Like Types,Rejected
242,Numeric Kinds,Withdrawn
240,Adding a Rational Literal to Python,Rejected
246,Object Adaptation,Rejected
244,The directive statement,Rejected
243,Module Repository Upload Mechanism,Standards Track
245,Python Interface Syntax,Rejected
241,Metadata for Python Software Packages,Standards Track
224,Attribute Docstrings,Rejected
216,Docstring Format,Withdrawn
231,__findattr__(),Rejected
228,Reworking Python’s Numeric Model,Withdrawn
